agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
traffic_plan_revenue_earmark_share_transport,0,6,False,,False
traffic_plan_revenue_scale,0,1,False,,False
transport_budget_IRR_year,2,3,False,,False
transport_budget_IRR_year_r12_alloc,2,2,False,,False
transport_budget_effective_IRR_year,4,4,False,,False
transport_budget_effective_IRR_year_r12_alloc,4,4,False,,False
transport_budget_gap_IRR_year,2,0,False,,False
transport_budget_gap_IRR_year_r12_alloc,2,0,False,,False
transport_budget_revenue_share_effective,4,0,False,,False
transport_budget_revenue_share_effective_r12_alloc,4,0,False,,False
transport_budget_share,0,1,False,,False
transport_budget_utilization,2,0,False,,False
transport_budget_utilization_r12_alloc,2,0,False,,False
transport_financial_balance_IRR,2,0,False,,False
travel_time_bus_hours,2,4,False,,False
travel_time_bus_r12_hours,2,6,False,,False
travel_time_car_congested_hours,2,0,False,,False
travel_time_car_hours,2,2,False,,False
travel_time_car_r12_base_hours,2,2,False,,False
travel_time_car_r12_hours,2,6,False,,False
travel_time_metro_hours,2,11,False,,False
travel_time_mot_r12_base_hours,2,0,False,,False
travel_time_motorcycle_hours,2,0,False,,False
travel_time_oth_r12_base_hours,2,0,False,,False
travel_time_other_hours,2,0,False,,False
travel_time_tax_r12_base_hours,2,0,False,,False
travel_time_taxi_hours,2,0,False,,False
trip_length_km,0,13,False,,False
trip_length_metro_km,1,1,False,,False
trip_length_r12_km,0,11,False,,False
trips_bus_BRT,2,0,False,,False
trips_bus_nonBRT,2,0,False,,False
