draw,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC5,Region 12,NOₓ emissions,823.3229590448087,833.9560748773146,841.4182545004336,855.7299647393935,-2.150570820022011,-2.544481408771284
0,SC5,Region 12,PM₂.₅ emissions,27.95889281615639,28.58981828256716,28.67736416341227,29.452153241716136,-2.505360475815753,-2.9279182138967124
0,SC5,Region 12,Time loss (car),53547587.64134557,54607966.64353181,58460484.09753299,61434594.30406548,-8.40379023887478,-11.112025297580448
0,SC5,Region 12,PCE-weighted VKT,914246251.7704653,929418939.644674,935270675.2532316,953301815.0236548,-2.247950677708768,-2.505279545532834
0,SC5,Tehran,CO₂ emissions,16334828.60478887,16597730.60037445,17096007.6721196,17722312.357730612,-4.452379069600386,-6.3455701189332085
0,SC5,Tehran,Congestion index,0.3913350114012002,0.3931919961494862,0.408019484941264,0.4175039675023832,-4.089136464270965,-5.823171333757026
0,SC5,Tehran,Electricity use,1028778703.1995866,1214168163.0229907,884842811.6666203,1054349026.0625808,16.266831762113778,15.158086459969264
0,SC5,Tehran,Final energy,242783941655.3528,245994848537.0668,254843722466.1595,263570939890.9256,-4.732225967389909,-6.668448107796848
0,SC5,Tehran,Health indicator,1.1899775842485408e+16,1.2415361069471416e+16,1.2155252172878236e+16,1.2795861070012928e+16,-2.1017772956028598,-2.973617785154083
0,SC5,Tehran,Modal share: car,0.5405146678314051,0.5320113123689745,0.5817412048880106,0.5811209900774272,-7.086748662498801,-8.450852498360023
0,SC5,Tehran,Modal share: public transport,0.142937146019928,0.1511505797892977,0.1031646492904233,0.103886516929721,38.55244698941341,45.49585861228817
0,SC5,Tehran,NOₓ emissions,62460.40270416836,63316.117770789424,65324.36988224275,67522.18533836934,-4.384224728439219,-6.229163861480983
0,SC5,Tehran,PM₂.₅ emissions,1122.1063028349877,1148.536093493679,1155.679954631423,1199.766584376915,-2.905099431887513,-4.270038151616142
0,SC5,Tehran,Time loss (car),847828311.738079,865695384.9279251,951841374.0675474,1019167835.850917,-10.92756263420077,-15.058604238119
0,SC5,Tehran,PCE-weighted VKT,69976836292.49431,71449990588.95517,72969335680.97835,75867908912.25446,-4.101036908938345,-5.823171333757016
0,SC5,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,63.87869652292867,142.92185698706032,0.0,0.0
0,SC5,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,29.51624016041301,60.18207770689028,0.0,0.0
0,SC5,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,84.36487247380374,169.56239313950334,0.0,0.0
0,SC5,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,45.68752260248281,85.07059173023467,0.0,0.0
0,SC5,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,941.660883050843,1278.6481875338736,0.0,0.0
0,SC5,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,145.8321428571453,133.6500000000051,5.785194747945485,10.000000000000009
0,SC5,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,2678.5357142857,2865.749999999971,0.0,0.0
0,SC5,Tehran,STOCK::len_met,329.4582482993224,371.175,320.3214285714312,353.5,2.852391040037361,5.000000000000004
0,SC5,Tehran,STOCK::population_city,10227453.848698577,10597652.759960145,10225573.925676277,10593079.987233248,0.0183845233134498,0.0431675464775895
0,SC5,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,4192415.099736402,4343924.107633086,0.0,0.0
0,SC5,Tehran,STOCK::taxis_total,78784.0,78784.0,78784.0,78784.0,0.0,0.0
0,SC5,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,1181.0,1181.0,0.1066892464013732,0.2845046570702709
0,SC5,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,942.0,942.0,2.231610266187328,6.054948943484458
0,SC5,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,2047.0,2047.0,2.969651954578415,7.785470025823924
0,SC5,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,325417.6086656498,337177.8227351354,0.0,0.0
0,SC5,Tehran,STOCK::transport_financial_balance_IRR,-4651052282772849.0,-9607735596686176.0,-4136112326239984.0,-8193812127383878.0,-12.449854257245994,-17.255990829676684
0,SC6,Region 12,CO₂ emissions,219443.1434361684,222864.50167889928,220612.6089674279,224348.4721917896,-0.5300991347381004,-0.6614578197892553
0,SC6,Region 12,Congestion index,1.2032223295789426,1.2120377107940663,1.243978476102981,1.2728949680805757,-3.2762742528886437,-4.781011694804424
0,SC6,Region 12,Electricity use,81011170.22097409,83822277.5447966,81682812.30736423,84582559.45306545,-0.8222563198030155,-0.8988636820463344
0,SC6,Region 12,Final energy,2966114570.46703,3005866769.843067,2981246241.5148897,3025393496.506492,-0.5075619328972526,-0.6454276670447343
0,SC6,Region 12,Health indicator,368217769321497.4,363458393466266.56,384302022550388.8,392221230776026.06,-4.185315789427704,-7.333319834026074
0,SC6,Region 12,Modal share: car,0.1887765167115549,0.1863375451157811,0.1901941686534329,0.1879505596876787,-0.7453708764653003,-0.8582121673795428
0,SC6,Region 12,Modal share: public transport,0.3772125777124148,0.378243734693167,0.3724819199460958,0.3727505038296986,1.2700368831334372,1.4737017943718618
0,SC6,Region 12,NOₓ emissions,765.8014381161731,713.7767459608473,841.4182545004336,855.7299647393935,-8.986828605133558,-16.58855300477611
0,SC6,Region 12,PM₂.₅ emissions,22.64481608730266,19.01316397381961,28.67736416341227,29.452153241716136,-21.035922415094813,-35.44389159672952
0,SC6,Region 12,Time loss (car),55096609.38173781,56442528.78908705,58460484.09753299,61434594.30406548,-5.754100000579927,-8.125821569310954
0,SC6,Region 12,PCE-weighted VKT,930668385.2519668,947444400.2658302,935270675.2532316,953301815.0236548,-0.4920810758894697,-0.6144344493542495
0,SC6,Tehran,CO₂ emissions,16378024.700774832,16670543.515556697,17096007.6721196,17722312.357730612,-4.199711330942273,-5.934715633849696
