scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC1,Tehran,STOCK::len_bik,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_brt,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_brt,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_hwy,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_hwy,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_met,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::len_met,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::metro_cars_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::metro_cars_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::motorcycles_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::motorcycles_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::population_city,delta_mean_pct,8,0.0087212770134499,0.0082603262571472,0.0082932131731522,0.008807750725861,0.0088901234155925,0.0082531987757646,0.008933507371898,1.0,True,0.0006297971584452
SC1,Tehran,STOCK::population_city,delta_2030_pct,8,0.0229900236498627,0.0220231393939794,0.0221794711987067,0.0231982690157195,0.0241081385807547,0.0219893888883938,0.0245902929269405,1.0,True,0.0020849991867752
SC1,Tehran,STOCK::private_cars_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::private_cars_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::taxis_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::taxis_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC1,Tehran,STOCK::transport_financial_balance_IRR,delta_mean_pct,8,0.1244981395862662,-0.435088808738729,0.0978775180012921,0.1356672719141717,0.1585140387692782,-0.6838952102445326,0.1642961718671549,0.875,False,0.5936028475080073
SC1,Tehran,STOCK::transport_financial_balance_IRR,delta_2030_pct,8,0.1534956502499909,-0.9000636626081471,0.026542151191353,0.2214937162616026,0.2580583405832433,-1.3564354006362591,0.2675157410548075,0.75,False,1.1581220031913904
SC1,Tehran,Time loss (car),delta_mean_pct,8,-5.241848746630573,-5.606346847603314,-5.32664472849739,-5.149309712916653,-5.130574791205423,-5.736442077610064,-5.1214963006604295,1.0,True,0.4757720563978909
SC1,Tehran,Time loss (car),delta_2030_pct,8,-9.879015238469494,-11.001372274740328,-10.25112463951994,-9.555744512613,-9.521734315667478,-11.377278112151036,-9.504541090358236,1.0,True,1.47963795907285
SC1,Tehran,PCE-weighted VKT,delta_mean_pct,8,-2.218567732134336,-2.315900456076704,-2.2515583098587117,-2.1860086980566726,-2.174134960291489,-2.346505964575512,-2.1687379174303185,1.0,True,0.1417654957852141
SC1,Tehran,PCE-weighted VKT,delta_2030_pct,8,-4.269271168718366,-4.644013349366048,-4.398849131760537,-4.151846041432695,-4.128333764758315,-4.763735111208691,-4.117545250798993,1.0,True,0.5156795846077333
SC10,Region 12,CO₂ emissions,delta_mean_pct,8,-2.4892867912726766,-2.915296527730906,-2.606471012188262,-2.3130618543979238,-2.126917879763591,-3.031428080296896,-2.089477100634857,1.0,True,0.7883786479673156
SC10,Region 12,CO₂ emissions,delta_2030_pct,8,-3.6647339924120574,-4.171256684537086,-3.746523089422565,-3.400696008428227,-3.165780678559958,-4.335840801445741,-3.121614520468752,1.0,True,1.0054760059771284
SC10,Region 12,Congestion index,delta_mean_pct,8,-5.687897815207418,-6.978485761823342,-6.657234918387584,-4.731416733998357,-4.546548090044448,-7.131844915751815,-4.465412931493322,1.0,True,2.4319376717788943
SC10,Region 12,Congestion index,delta_2030_pct,8,-7.743839368759874,-9.370440999563696,-8.800196197262816,-6.360316677241121,-6.012078326939554,-9.587025970159663,-5.904509614145695,1.0,True,3.358362672624142
SC10,Region 12,Electricity use,delta_mean_pct,8,16.341084377107585,14.725677261263057,14.899723624142474,17.39359590049792,20.117731916664475,14.6746849458984,21.16595809736237,1.0,True,5.39205465540142
SC10,Region 12,Electricity use,delta_2030_pct,8,18.45501747049689,16.41217286897491,16.890680162632954,19.64612742552599,23.509520657285268,16.256318812935596,25.02036874958335,1.0,True,7.097347788310358
SC10,Region 12,Final energy,delta_mean_pct,8,-4.668880634074628,-5.260846797238951,-5.004812097059832,-4.301544884053991,-4.1567376186294815,-5.352106395921898,-4.123181536485992,1.0,True,1.1041091786094697
SC10,Region 12,Final energy,delta_2030_pct,8,-6.252382259798249,-7.056211329253452,-6.689319675740001,-5.843977938664838,-5.663667481663759,-7.194480863048959,-5.568368904335812,1.0,True,1.3925438475896934
SC10,Region 12,Health indicator,delta_mean_pct,8,-5.456659223695207,-6.115831670948992,-5.991823786754615,-4.927380437839412,-4.85857556535732,-6.119002099869327,-4.853525706553201,1.0,True,1.2572561055916711
SC10,Region 12,Health indicator,delta_2030_pct,8,-8.497525936745323,-9.571136547550152,-9.477321085420506,-7.717644133343415,-7.560928296349489,-9.571381994258536,-7.555339449232316,1.0,True,2.010208251200664
SC10,Region 12,Modal share: car,delta_mean_pct,8,-5.627648898451325,-6.737263192723268,-6.248977979509585,-5.234685006516253,-4.943519266385283,-6.894985689839128,-4.918510605748231,1.0,True,1.793743926337985
SC10,Region 12,Modal share: car,delta_2030_pct,8,-6.343665926621155,-7.573270258790075,-6.975941655089667,-5.959288380661841,-5.689091814086646,-7.758582882667595,-5.627778672679064,1.0,True,1.884178444703428
SC10,Region 12,Modal share: public transport,delta_mean_pct,8,12.117915729956271,10.641965567796174,11.305008934914436,13.165205552982568,13.749107545752787,10.33474255684042,13.966368732881984,1.0,True,3.107141977956614
SC10,Region 12,Modal share: public transport,delta_2030_pct,8,13.054866067045545,11.45722186283465,12.207695370160524,14.191845952355138,14.921925584443258,11.139615443980343,15.165166652935827,1.0,True,3.464703721608608
SC10,Region 12,NOₓ emissions,delta_mean_pct,8,-11.093244786127192,-12.203466731893048,-11.58679509471764,-10.60876336903798,-10.1031633645399,-12.352958696729036,-9.930706593692197,1.0,True,2.1003033673531477
