draw,scenario,geo,metric,mean_2024_2030,value_2030
28,SC4,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028
28,SC4,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996
28,SC4,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197
28,SC4,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736
28,SC4,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051
28,SC4,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
28,SC4,Tehran,STOCK::len_met,320.3214285714312,353.5
28,SC4,Tehran,STOCK::population_city,10219187.247484094,10585887.73463174
28,SC4,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
28,SC4,Tehran,STOCK::taxis_total,78784.0,78784.0
28,SC4,Tehran,STOCK::metro_cars_total,1181.0,1181.0
28,SC4,Tehran,STOCK::brts_total,942.0,942.0
28,SC4,Tehran,STOCK::buses_total,2047.0,2047.0
28,SC4,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
28,SC4,Tehran,STOCK::transport_financial_balance_IRR,-3710329420230447.0,-7375442353025189.0
28,SC7,Region 12,CO₂ emissions,266140.3700155703,268448.29596010793
28,SC7,Region 12,Congestion index,1.2527365509239574,1.283079091722878
28,SC7,Region 12,Electricity use,61011607.259701945,68186775.95791161
28,SC7,Region 12,Final energy,3744508484.927982,3733267438.351628
28,SC7,Region 12,Health indicator,405605545245733.5,411300717712366.5
28,SC7,Region 12,Modal share: car,0.2914498895942372,0.2905175974310923
28,SC7,Region 12,Modal share: public transport,0.2668078033235234,0.2620895173590978
28,SC7,Region 12,NOₓ emissions,1036.8968677342605,1036.5266511406064
28,SC7,Region 12,PM₂.₅ emissions,30.744252301490672,31.39918518416017
28,SC7,Region 12,Time loss (car),90605085.3676312,96148887.44073576
28,SC7,Region 12,PCE-weighted VKT,1186932922.5040462,1218611193.1758194
28,SC7,Tehran,CO₂ emissions,17596911.86449517,18163394.560955662
28,SC7,Tehran,Congestion index,0.4108920950757469,0.4208443153966071
28,SC7,Tehran,Electricity use,1619846882.7410393,2031576855.933198
28,SC7,Tehran,Final energy,257870820861.6045,263954534472.1187
28,SC7,Tehran,Health indicator,1.220543816933461e+16,1.2793279656184148e+16
28,SC7,Tehran,Modal share: car,0.603352383151985,0.6025876424521982
28,SC7,Tehran,Modal share: public transport,0.1172031435051794,0.118165678165558
