year,area,scenario,mode,value,series
2013,Region12,s4,car,0.1696457809629256,sim
2014,Region12,s4,car,0.1619355251542501,sim
2015,Region12,s4,car,0.1571107415094187,sim
2016,Region12,s4,car,0.1873266652366208,sim
2017,Region12,s4,car,0.2033560139092065,sim
2018,Region12,s4,car,0.21308177373457,sim
2019,Region12,s4,car,0.2253588169896825,sim
2020,Region12,s4,car,0.2501839947817428,sim
2021,Region12,s4,car,0.2517150518192176,sim
2022,Region12,s4,car,0.2378492560450463,sim
2023,Region12,s4,car,0.2126119857630489,sim
2024,Region12,s4,car,0.2142238359737201,sim
2025,Region12,s4,car,0.2073101470216055,sim
2026,Region12,s4,car,0.2036591256546763,sim
2027,Region12,s4,car,0.202955802551243,sim
2028,Region12,s4,car,0.2040397180340676,sim
2029,Region12,s4,car,0.2045920851807171,sim
2030,Region12,s4,car,0.2044912559353205,sim
2012,Region12,s5,car,0.174,sim
2013,Region12,s5,car,0.1696457809629256,sim
2014,Region12,s5,car,0.1619355251542501,sim
2015,Region12,s5,car,0.1571107415094187,sim
2016,Region12,s5,car,0.1873266652366208,sim
2017,Region12,s5,car,0.2033560139092065,sim
2018,Region12,s5,car,0.21308177373457,sim
2019,Region12,s5,car,0.2253588169896825,sim
2020,Region12,s5,car,0.2501839947817428,sim
2021,Region12,s5,car,0.2517150518192176,sim
2022,Region12,s5,car,0.2378492560450463,sim
2023,Region12,s5,car,0.2126119857630489,sim
2024,Region12,s5,car,0.2142606287215374,sim
2025,Region12,s5,car,0.2098825781480298,sim
2026,Region12,s5,car,0.2071022954281391,sim
2027,Region12,s5,car,0.206371143146444,sim
2028,Region12,s5,car,0.2063380024813951,sim
2029,Region12,s5,car,0.2064083445030399,sim
2030,Region12,s5,car,0.2062187348183976,sim
2012,Region12,s6,car,0.174,sim
2013,Region12,s6,car,0.1696457809629256,sim
2014,Region12,s6,car,0.1619355251542501,sim
2015,Region12,s6,car,0.1571107415094187,sim
2016,Region12,s6,car,0.1873266652366208,sim
2017,Region12,s6,car,0.2033560139092065,sim
2018,Region12,s6,car,0.21308177373457,sim
2019,Region12,s6,car,0.2253588169896825,sim
2020,Region12,s6,car,0.2501839947817428,sim
2021,Region12,s6,car,0.2517150518192176,sim
2022,Region12,s6,car,0.2378492560450463,sim
2023,Region12,s6,car,0.2126119857630489,sim
2024,Region12,s6,car,0.2186884383135524,sim
2025,Region12,s6,car,0.2127922490817544,sim
2026,Region12,s6,car,0.2092794951844361,sim
2027,Region12,s6,car,0.2085207860237277,sim
2028,Region12,s6,car,0.2088494624663551,sim
2029,Region12,s6,car,0.2091599008100005,sim
2030,Region12,s6,car,0.2089222500390256,sim
2012,Region12,s7,car,0.174,sim
2013,Region12,s7,car,0.1696457809629256,sim
2014,Region12,s7,car,0.1619355251542501,sim
2015,Region12,s7,car,0.1571107415094187,sim
2016,Region12,s7,car,0.1873266652366208,sim
2017,Region12,s7,car,0.2033560139092065,sim
2018,Region12,s7,car,0.21308177373457,sim
2019,Region12,s7,car,0.2253588169896825,sim
2020,Region12,s7,car,0.2501839947817428,sim
2021,Region12,s7,car,0.2517150518192176,sim
2022,Region12,s7,car,0.2378492560450463,sim
2023,Region12,s7,car,0.2126119857630489,sim
2024,Region12,s7,car,0.2198585795004265,sim
2025,Region12,s7,car,0.2143111837534519,sim
2026,Region12,s7,car,0.2109647446747155,sim
2027,Region12,s7,car,0.2103329456253022,sim
2028,Region12,s7,car,0.2107092778203136,sim
2029,Region12,s7,car,0.2110516976266978,sim
2030,Region12,s7,car,0.2108869508831757,sim
2012,Region12,s8,car,0.174,sim
2013,Region12,s8,car,0.1696457809629256,sim
2014,Region12,s8,car,0.1619355251542501,sim
2015,Region12,s8,car,0.1571107415094187,sim
2016,Region12,s8,car,0.1873266652366208,sim
2017,Region12,s8,car,0.2033560139092065,sim
2018,Region12,s8,car,0.21308177373457,sim
2019,Region12,s8,car,0.2253588169896825,sim
2020,Region12,s8,car,0.2501839947817428,sim
2021,Region12,s8,car,0.2517150518192176,sim
2022,Region12,s8,car,0.2378492560450463,sim
2023,Region12,s8,car,0.2126119857630489,sim
2024,Region12,s8,car,0.2130134587404052,sim
2025,Region12,s8,car,0.2060697152640975,sim
2026,Region12,s8,car,0.199944669818403,sim
2027,Region12,s8,car,0.1984133462185557,sim
2028,Region12,s8,car,0.1974031632215826,sim
2029,Region12,s8,car,0.1973107462809455,sim
2030,Region12,s8,car,0.1953743951537558,sim
2012,Region12,s9,car,0.174,sim
2013,Region12,s9,car,0.1696457809629256,sim
2014,Region12,s9,car,0.1619355251542501,sim
2015,Region12,s9,car,0.1571107415094187,sim
2016,Region12,s9,car,0.1873266652366208,sim
2017,Region12,s9,car,0.2033560139092065,sim
2018,Region12,s9,car,0.21308177373457,sim
2019,Region12,s9,car,0.2253588169896825,sim
2020,Region12,s9,car,0.2501839947817428,sim
2021,Region12,s9,car,0.2517150518192176,sim
2022,Region12,s9,car,0.2378492560450463,sim
2023,Region12,s9,car,0.2126119857630489,sim
2024,Region12,s9,car,0.2114253589944129,sim
2025,Region12,s9,car,0.2066925591649532,sim
2026,Region12,s9,car,0.1993433055165932,sim
2027,Region12,s9,car,0.1974002491359636,sim
2028,Region12,s9,car,0.1942816492919214,sim
2029,Region12,s9,car,0.1922665523454776,sim
2030,Region12,s9,car,0.1891827257849623,sim
2012,Region12,obs,metro,0.152,obs
2013,Region12,obs,metro,0.165,obs
2014,Region12,obs,metro,0.165,obs
2015,Region12,obs,metro,0.175,obs
2016,Region12,obs,metro,0.173,obs
2017,Region12,obs,metro,0.171,obs
2018,Region12,obs,metro,0.175,obs
2019,Region12,obs,metro,0.17,obs
2020,Region12,obs,metro,0.157,obs
2021,Region12,obs,metro,0.18,obs
2022,Region12,obs,metro,0.238,obs
2023,Region12,obs,metro,0.27,obs
2012,Region12,s0,metro,0.152,sim
2013,Region12,s0,metro,0.1899628008742728,sim
2014,Region12,s0,metro,0.1831417820460008,sim
2015,Region12,s0,metro,0.1841563637228131,sim
