Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC9,2026,Region 12,12.75412332875806,12.75412332875806,pct,PT subsidy need
SC9,2027,Region 12,13.65105475290546,13.65105475290546,pct,PT subsidy need
SC9,2028,Region 12,15.522014789346866,15.522014789346866,pct,PT subsidy need
SC9,2029,Region 12,16.207958151116998,16.207958151116998,pct,PT subsidy need
SC9,2030,Region 12,17.77609521673298,17.77609521673298,pct,PT subsidy need
SC0,2024,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2025,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2026,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2027,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2028,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2029,Tehran,0.0,0.0,pct,PT subsidy need
SC0,2030,Tehran,0.0,0.0,pct,PT subsidy need
SC1,2024,Tehran,0.0,0.0,pct,PT subsidy need
SC1,2025,Tehran,0.0,0.0,pct,PT subsidy need
SC1,2026,Tehran,-0.8104588138801492,-0.8104588138801492,pct,PT subsidy need
SC1,2027,Tehran,7.062113961635793,7.062113961635793,pct,PT subsidy need
SC1,2028,Tehran,-1.0487640668634648,-1.0487640668634648,pct,PT subsidy need
SC1,2029,Tehran,-1.0315603441229177,-1.0315603441229177,pct,PT subsidy need
SC1,2030,Tehran,-1.2035899975376534,-1.2035899975376534,pct,PT subsidy need
SC10,2024,Tehran,21.377690339188504,21.377690339188504,pct,PT subsidy need
SC10,2025,Tehran,58.83046668075327,58.83046668075327,pct,PT subsidy need
SC10,2026,Tehran,75.46044240689086,75.46044240689086,pct,PT subsidy need
SC10,2027,Tehran,79.76907838581776,79.76907838581776,pct,PT subsidy need
SC10,2028,Tehran,82.10102906494109,82.10102906494109,pct,PT subsidy need
SC10,2029,Tehran,83.56954022130358,83.56954022130358,pct,PT subsidy need
SC10,2030,Tehran,86.05220705362508,86.05220705362508,pct,PT subsidy need
SC11,2024,Tehran,12.744995516866386,12.744995516866386,pct,PT subsidy need
SC11,2025,Tehran,47.29154164090792,47.29154164090792,pct,PT subsidy need
SC11,2026,Tehran,64.24310483688389,64.24310483688389,pct,PT subsidy need
SC11,2027,Tehran,70.69341041086633,70.69341041086633,pct,PT subsidy need
SC11,2028,Tehran,73.38860222696547,73.38860222696547,pct,PT subsidy need
SC11,2029,Tehran,75.41639078129825,75.41639078129825,pct,PT subsidy need
SC11,2030,Tehran,78.87362588001531,78.87362588001531,pct,PT subsidy need
SC2,2024,Tehran,0.0,0.0,pct,PT subsidy need
SC2,2025,Tehran,0.0,0.0,pct,PT subsidy need
SC2,2026,Tehran,2.510878944048379,2.510878944048379,pct,PT subsidy need
SC2,2027,Tehran,4.13779030866364,4.13779030866364,pct,PT subsidy need
SC2,2028,Tehran,4.196148742330426,4.196148742330426,pct,PT subsidy need
SC2,2029,Tehran,5.0355940488492905,5.0355940488492905,pct,PT subsidy need
SC2,2030,Tehran,5.362747601408919,5.362747601408919,pct,PT subsidy need
SC3,2024,Tehran,0.0,0.0,pct,PT subsidy need
SC3,2025,Tehran,0.0,0.0,pct,PT subsidy need
SC3,2026,Tehran,0.3482768403559183,0.3482768403559183,pct,PT subsidy need
SC3,2027,Tehran,0.3457760697577229,0.3457760697577229,pct,PT subsidy need
SC3,2028,Tehran,0.7429844839580203,0.7429844839580203,pct,PT subsidy need
SC3,2029,Tehran,0.7379182725680064,0.7379182725680064,pct,PT subsidy need
