Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC4,2030,Tehran,-0.41301329498526707,-0.41301329498526707,pct,Health indicator
SC5,2024,Tehran,0.04102503135749855,0.04102503135749855,pct,Health indicator
SC5,2025,Tehran,-0.11094127017947278,-0.11094127017947278,pct,Health indicator
SC5,2026,Tehran,-2.6000634441670463,-2.6000634441670463,pct,Health indicator
SC5,2027,Tehran,-3.1234947482443243,-3.1234947482443243,pct,Health indicator
SC5,2028,Tehran,-3.134851467442911,-3.134851467442911,pct,Health indicator
SC5,2029,Tehran,-3.2303123288749584,-3.2303123288749584,pct,Health indicator
SC5,2030,Tehran,-3.215334138205461,-3.215334138205461,pct,Health indicator
SC6,2024,Tehran,0.021370205539731044,0.021370205539731044,pct,Health indicator
SC6,2025,Tehran,-0.522449540473052,-0.522449540473052,pct,Health indicator
SC6,2026,Tehran,-3.247102671370238,-3.247102671370238,pct,Health indicator
SC6,2027,Tehran,-3.8777603251000348,-3.8777603251000348,pct,Health indicator
SC6,2028,Tehran,-4.5758831191259794,-4.5758831191259794,pct,Health indicator
SC6,2029,Tehran,-4.792888086237477,-4.792888086237477,pct,Health indicator
SC6,2030,Tehran,-5.243193206608563,-5.243193206608563,pct,Health indicator
SC7,2024,Tehran,-0.13838373526921632,-0.13838373526921632,pct,Health indicator
SC7,2025,Tehran,-0.19845877306969703,-0.19845877306969703,pct,Health indicator
SC7,2026,Tehran,-0.3494118527742665,-0.3494118527742665,pct,Health indicator
SC7,2027,Tehran,-0.45645263259018926,-0.45645263259018926,pct,Health indicator
SC7,2028,Tehran,-0.7619295006717932,-0.7619295006717932,pct,Health indicator
SC7,2029,Tehran,-0.9758673040596922,-0.9758673040596922,pct,Health indicator
SC7,2030,Tehran,-1.1985855827621068,-1.1985855827621068,pct,Health indicator
SC8,2024,Tehran,0.07291567349604303,0.07291567349604303,pct,Health indicator
SC8,2025,Tehran,-0.7047881838989106,-0.7047881838989106,pct,Health indicator
SC8,2026,Tehran,-4.350646357674402,-4.350646357674402,pct,Health indicator
SC8,2027,Tehran,-5.177946872984602,-5.177946872984602,pct,Health indicator
SC8,2028,Tehran,-6.043915618798669,-6.043915618798669,pct,Health indicator
SC8,2029,Tehran,-6.303637357783975,-6.303637357783975,pct,Health indicator
SC8,2030,Tehran,-6.906180879682498,-6.906180879682498,pct,Health indicator
SC9,2024,Tehran,0.06680002787938927,0.06680002787938927,pct,Health indicator
SC9,2025,Tehran,-0.6072730201903114,-0.6072730201903114,pct,Health indicator
SC9,2026,Tehran,-3.10200047593325,-3.10200047593325,pct,Health indicator
SC9,2027,Tehran,-4.200376067666729,-4.200376067666729,pct,Health indicator
SC9,2028,Tehran,-4.387492962839598,-4.387492962839598,pct,Health indicator
SC9,2029,Tehran,-4.765505446053169,-4.765505446053169,pct,Health indicator
SC9,2030,Tehran,-4.9908792318327855,-4.9908792318327855,pct,Health indicator
SC0,2024,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2025,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2026,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2027,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2028,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2029,Region 12,0.0,0.0,pct,PT affordability ratio
SC0,2030,Region 12,0.0,0.0,pct,PT affordability ratio
SC1,2024,Region 12,0.0,0.0,pct,PT affordability ratio
SC1,2025,Region 12,0.0,0.0,pct,PT affordability ratio
SC1,2026,Region 12,-1.629706518481251,-1.629706518481251,pct,PT affordability ratio
SC1,2027,Region 12,-1.5206451682873778,-1.5206451682873778,pct,PT affordability ratio
SC1,2028,Region 12,-2.2507989707189924,-2.2507989707189924,pct,PT affordability ratio
SC1,2029,Region 12,-2.1641416130612026,-2.1641416130612026,pct,PT affordability ratio
SC1,2030,Region 12,-2.71334417989647,-2.71334417989647,pct,PT affordability ratio
SC10,2024,Region 12,2.422807857833564,2.422807857833564,pct,PT affordability ratio
SC10,2025,Region 12,-1.9563905298862254,-1.9563905298862254,pct,PT affordability ratio
